,Angels Stadium of Anaheim,Dodger Stadium,Petco Park,Chase Field,Minute Maid Park,Globe Life Park in Arlington,Coors Field,Kauffman Stadium,Busch Stadium,Target Field,Miller Park,US Cellular Field,Wrigley,Great America Ball Park,Turner Field,Tropicana Field,Marlins Park,Oriole Park at Camden Yards,Nationals Park,PNC Park,Progressive Field,Comerica Park,Rogers Centre,Fenway Park,SafeCo Field,AT&T Park,O.co Coliseum,Citizens Bank Park,Citi Field,Yankee Stadium
Angels Stadium of Anaheim,0,0,110,-1,-1,-1,-1,-1,-1,1500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,340,340,-1,-1,-1
Dodger Stadium,0,0,110,-1,-1,-1,-1,-1,-1,1500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,340,340,-1,-1,-1
Petco Park,110,110,0,300,-1,-1,830,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chase Field,-1,-1,300,0,1115,870,580,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Minute Maid Park,-1,-1,-1,1115,0,230,-1,-1,680,-1,-1,-1,-1,-1,-1,790,965,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Globe Life Park in Arlington,-1,-1,-1,870,230,0,650,460,-1,-1,-1,-1,-1,-1,740,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Coors Field,-1,-1,830,580,-1,650,0,560,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Kauffman Stadium,-1,-1,-1,-1,-1,460,560,0,235,-1,-1,415,415,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Busch Stadium,-1,-1,-1,-1,680,-1,-1,235,0,465,-1,-1,-1,310,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Target Field,1500,1500,-1,-1,-1,-1,-1,-1,465,0,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2070,-1,-1,-1,-1,-1
Miller Park,-1,-1,-1,-1,-1,-1,-1,-1,-1,300,0,80,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,430,-1,-1,-1,-1,-1,-1,-1
US Cellular Field,-1,-1,-1,-1,-1,-1,-1,415,-1,-1,80,0,0,250,-1,-1,-1,-1,-1,-1,-1,240,-1,-1,-1,-1,-1,-1,-1,-1
Wrigley Field,-1,-1,-1,-1,-1,-1,-1,415,-1,-1,80,0,0,250,-1,-1,-1,-1,-1,-1,-1,240,-1,-1,-1,-1,-1,-1,-1,-1
Great America Ball Park,-1,-1,-1,-1,-1,-1,-1,-1,310,-1,-1,250,250,0,375,790,-1,-1,-1,260,225,-1,-1,-1,-1,-1,-1,-1,-1,-1
Turner Field,-1,-1,-1,-1,-1,740,-1,-1,-1,-1,-1,-1,-1,375,0,-1,600,560,560,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Tropicana Field,-1,-1,-1,-1,790,-1,-1,-1,-1,-1,-1,-1,-1,790,-1,0,210,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Marlins Park,-1,-1,-1,-1,965,-1,-1,-1,-1,-1,-1,-1,-1,-1,600,210,0,930,930,-1,-1,-1,-1,1255,-1,-1,-1,-1,-1,-1
Oriole Park at Camden Yards,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,560,-1,930,0,0,195,-1,-1,-1,-1,-1,-1,-1,90,-1,-1
Nationals Park,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,560,-1,930,0,0,195,-1,-1,-1,-1,-1,-1,-1,90,-1,-1
PNC Park,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,260,-1,-1,-1,195,195,0,115,-1,225,-1,-1,-1,-1,-1,315,315
Progressive Field,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,225,-1,-1,-1,-1,-1,115,0,90,-1,-1,-1,-1,-1,-1,-1,-1
Comerica Park,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,240,240,-1,-1,-1,-1,-1,-1,-1,90,0,210,-1,-1,-1,-1,-1,-1,-1
Rogers Centre,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,430,-1,-1,-1,-1,-1,-1,-1,-1,225,-1,210,0,430,2070,-1,-1,-1,-1,-1
Fenway Park,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1255,-1,-1,-1,-1,-1,430,0,-1,-1,-1,-1,195,195
SafeCo Field,-1,-1,-1,-1,-1,-1,-1,-1,-1,1390,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2070,-1,0,680,680,-1,-1,-1
AT&T Park,340,340,-1,650,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,680,0,0,-1,-1,-1
O.co Coliseum,340,340,-1,650,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,680,0,0,-1,-1,-1
Citizens Bank Park,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,90,-1,-1,-1,-1,-1,-1,-1,-1,0,80,80
Citi Field,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,315,-1,-1,-1,195,-1,-1,-1,80,0,0
Yankee Stadium,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,315,-1,-1,-1,195,-1,-1,-1,80,0,0